function,size,time_us
oneapi_mkl,10, 1715
cblas,10, 1294
simd-vector,10, 11
oneapi_mkl,25, 2414
cblas,25, 1466
simd-vector,25, 46
oneapi_mkl,40, 2099
cblas,40, 1229
simd-vector,40, 138
oneapi_mkl,55, 2121
cblas,55, 1359
simd-vector,55, 248
oneapi_mkl,70, 2075
cblas,70, 1395
simd-vector,70, 490
oneapi_mkl,85, 1960
cblas,85, 1287
simd-vector,85, 946
oneapi_mkl,100, 2101
cblas,100, 1458
simd-vector,100, 1492
oneapi_mkl,115, 2268
cblas,115, 1580
simd-vector,115, 2190
oneapi_mkl,130, 2634
cblas,130, 1637
simd-vector,130, 3582
oneapi_mkl,145, 2436
cblas,145, 1815
simd-vector,145, 4730
oneapi_mkl,160, 2532
cblas,160, 1940
simd-vector,160, 5940
oneapi_mkl,175, 2827
cblas,175, 2111
simd-vector,175, 7536
