time,PosSaved,VelSaved,AltSaved
0, 1872.36, 596.608, 67.9387
0.05, 1857.84, 596.843, 64.8807
0.1, 1843.49, 596.983, 61.8685
0.15, 1829.28, 597.033, 58.8967
0.2, 1815.26, 596.997, 55.9761
0.25, 1801.37, 596.881, 53.0954
0.3, 1787.64, 596.69, 50.2595
0.35, 1774.02, 596.427, 47.4621
0.4, 1760.52, 596.096, 44.7006
0.45, 1747.22, 595.703, 41.9945
0.5, 1734, 595.249, 39.3186
0.55, 1720.96, 594.741, 36.691
0.6, 1707.98, 594.177, 34.0923
0.65, 1695.1, 593.563, 31.5287
0.7, 1682.47, 592.909, 29.0262
0.75, 1669.98, 592.212, 26.5648
0.8, 1657.55, 591.473, 24.1324
0.85, 1645.21, 590.696, 21.7341
0.9, 1633.06, 589.887, 19.3853
0.95, 1621.11, 589.053, 17.0895
1, 1609.17, 588.183, 14.8116
1.05, 1597.43, 587.292, 12.5868
1.1, 1585.67, 586.366, 10.3744
1.15, 1573.88, 585.407, 8.17218
1.2, 1562.53, 584.452, 6.06612
1.25, 1551, 583.456, 3.94409
1.3, 1539.71, 582.454, 1.88126
1.35, 1528.46, 581.431, -0.158266
1.4, 1517.61, 580.422, -2.10925
1.45, 1506.77, 579.393, -4.04367
1.5, 1495.89, 578.34, -5.97067
1.55, 1485.15, 577.283, -7.85673
1.6, 1474.61, 576.228, -9.69187
1.65, 1464.05, 575.155, -11.5163
1.7, 1453.52, 574.07, -13.3203
1.75, 1443.34, 573.011, -15.0448
1.8, 1433.05, 571.925, -16.7763
1.85, 1423.08, 570.863, -18.437
1.9, 1413.14, 569.796, -20.0763
1.95, 1403.35, 568.736, -21.676
2, 1393.82, 567.699, -23.2141
2.05, 1384.1, 566.63, -24.7744
2.1, 1374.6, 565.582, -26.2808
2.15, 1365.12, 564.53, -27.7703
2.2, 1355.83, 563.495, -29.2138
2.25, 1346.56, 562.457, -30.6422
2.3, 1337.45, 561.438, -32.027
2.35, 1328.11, 560.381, -33.443
2.4, 1319.39, 559.407, -34.7326
2.45, 1310.58, 558.416, -36.0282
2.5, 1302.13, 557.474, -37.2469
2.55, 1293.92, 556.564, -38.4113
2.6, 1285.75, 555.661, -39.5561
2.65, 1277.66, 554.767, -40.6773
2.7, 1269.69, 553.891, -41.7674
2.75, 1261.36, 552.961, -42.9125
2.8, 1253.71, 552.133, -43.9243
2.85, 1245.94, 551.288, -44.9474
2.9, 1238.15, 550.439, -45.967
2.95, 1230.39, 549.599, -46.9691
3, 1223.09, 548.829, -47.8794
3.05, 1215.58, 548.027, -48.8204
3.1, 1208.09, 547.231, -49.7491
3.15, 1200.28, 546.386, -50.7279
3.2, 1193.42, 545.694, -51.523
3.25, 1186.13, 544.935, -52.3904
3.3, 1179.32, 544.255, -53.1619
3.35, 1171.92, 543.482, -54.0344
3.4, 1165.24, 542.83, -54.7654
3.45, 1158.67, 542.199, -55.4705
3.5, 1151.88, 541.533, -56.2097
3.55, 1145.15, 540.879, -56.9326
3.6, 1138.39, 540.224, -57.6526
3.65, 1132.25, 539.675, -58.2521
3.7, 1126.19, 539.145, -58.8303
3.75, 1119.74, 538.549, -59.4768
3.8, 1113.59, 538.008, -60.0613
3.85, 1107.55, 537.489, -60.6201
3.9, 1101.95, 537.05, -61.0915
3.95, 1096.45, 536.628, -61.5427
4, 1090.83, 536.191, -62.0094
4.05, 1084.9, 535.701, -62.5307
4.1, 1079.46, 535.301, -62.9552
4.15, 1074.51, 534.989, -63.2861
4.2, 1069.13, 534.603, -63.694
4.25, 1063.92, 534.25, -64.0666
4.3, 1058.52, 533.868, -64.469
4.35, 1053.12, 533.487, -64.8695
4.4, 1047.24, 533.026, -65.3533
4.45, 1041.93, 532.666, -65.7293
4.5, 1036.33, 532.259, -66.1533
4.55, 1031.61, 532.01, -66.4129
4.6, 1027.47, 531.865, -66.5633
4.65, 1023.06, 531.674, -66.7615
4.7, 1018.93, 531.535, -66.9065
4.75, 1013.91, 531.24, -67.2134
4.8, 1010.31, 531.199, -67.2566
4.85, 1006.66, 531.148, -67.3098
4.9, 1002.98, 531.093, -67.3669
4.95, 999.077, 530.999, -67.465
5, 995.035, 530.882, -67.5873
5.05, 990.944, 530.758, -67.7173
5.1, 987.88, 530.814, -67.6586
5.15, 983.954, 530.72, -67.7577
5.2, 980.715, 530.746, -67.7306
5.25, 977.263, 530.734, -67.7425
5.3, 973.978, 530.752, -67.7239
5.35, 970.478, 530.732, -67.7446
5.4, 967.802, 530.854, -67.6151
5.45, 964.802, 530.919, -67.5459
5.5, 961.315, 530.9, -67.5657
5.55, 958.451, 530.987, -67.4724
5.6, 955.599, 531.075, -67.3775
5.65, 951.625, 530.974, -67.4874
5.7, 949.289, 531.147, -67.299
5.75, 947.451, 531.401, -67.0222
5.8, 944.834, 531.522, -66.8891
5.85, 942.617, 531.706, -66.6852
5.9, 940.8, 531.953, -66.4106
5.95, 938.597, 532.134, -66.2087
6, 936.831, 532.381, -65.9298
6.05, 933.937, 532.445, -65.8573
6.1, 931.626, 532.6, -65.6802
6.15, 929.061, 532.713, -65.5507
6.2, 927.201, 532.934, -65.2956
6.25, 926.293, 533.299, -64.8715
6.3, 925.039, 533.603, -64.5139
6.35, 923.349, 533.835, -64.2382
6.4, 922.545, 534.195, -63.8064
6.45, 921.589, 534.525, -63.4062
6.5, 921.093, 534.915, -62.9275
6.55, 920.369, 535.264, -62.4944
6.6, 918.505, 535.442, -62.2693
6.65, 917.491, 535.738, -61.8946
6.7, 917.54, 536.174, -61.3342
6.75, 916.806, 536.492, -60.9191
6.8, 916.245, 536.826, -60.477
6.85, 915.249, 537.094, -60.1169
6.9, 915.219, 537.483, -59.5888
6.95, 914.11, 537.723, -59.2573
7, 912.654, 537.914, -58.9904
7.05, 911.972, 538.197, -58.5892
7.1, 910.361, 538.36, -58.3564
7.15, 910.772, 538.766, -57.7686
7.2, 910.587, 539.088, -57.2918
7.25, 910.099, 539.367, -56.8732
7.3, 908.522, 539.513, -56.6505
7.35, 907.931, 539.768, -56.2565
7.4, 906.663, 539.941, -55.9852
7.45, 906.396, 540.221, -55.5409
7.5, 906.889, 540.575, -54.968
7.55, 906.342, 540.808, -54.5826
7.6, 906.387, 541.096, -54.0977
7.65, 906.185, 541.351, -53.6607
7.7, 906.961, 541.695, -53.0575
7.75, 907.058, 541.961, -52.5786
7.8, 907.298, 542.233, -52.0796
7.85, 906.565, 542.405, -51.7546
7.9, 906.512, 542.635, -51.3146
7.95, 907.872, 542.982, -50.634
8, 908.548, 543.257, -50.0789
8.05, 909.975, 543.582, -49.3994
8.1, 910.214, 543.799, -48.9319
8.15, 910.602, 544.019, -48.4432
8.2, 911.165, 544.244, -47.9293
8.25, 912.173, 544.493, -47.3438
8.3, 912.899, 544.711, -46.8126
8.35, 912.974, 544.875, -46.3984
8.4, 913.587, 545.068, -45.8961
8.45, 914.832, 545.294, -45.2904
8.5, 917.796, 545.612, -44.3971
8.55, 919.421, 545.831, -43.7415
8.6, 920.578, 546.013, -43.1721
8.65, 922.257, 546.211, -42.5196
8.7, 924.497, 546.423, -41.7784
8.75, 927.093, 546.636, -40.9843
8.8, 929.572, 546.827, -40.2181
8.85, 931.509, 546.98, -39.5512
8.9, 933.276, 547.115, -38.9195
8.95, 935.234, 547.244, -38.2619
9, 937.352, 547.366, -37.5841
9.05, 939.364, 547.473, -36.9306
9.1, 941.679, 547.576, -36.2327
9.15, 944.849, 547.685, -35.3987
9.2, 948.324, 547.781, -34.522
9.25, 950.508, 547.839, -33.8697
9.3, 952.902, 547.888, -33.1886
9.35, 954.785, 547.921, -32.5995
9.4, 956.901, 547.947, -31.9772
9.45, 957.69, 547.957, -31.581
9.5, 958.171, 547.963, -31.2394
9.55, 961.685, 547.97, -30.3989
9.6, 965.898, 547.959, -29.451
9.65, 968.85, 547.934, -28.7209
9.7, 971.895, 547.896, -27.9826
9.75, 973.454, 547.863, -27.4959
9.8, 975.039, 547.824, -27.0094
9.85, 976.945, 547.775, -26.4747
9.9, 979.06, 547.717, -25.9107
9.95, 981.587, 547.644, -25.2846
10, 984.463, 547.556, -24.6071
10.05, 986.994, 547.466, -23.9927
10.1, 989.134, 547.379, -23.4477
10.15, 991.903, 547.269, -22.8052
10.2, 995.267, 547.132, -22.0717
10.25, 998.251, 546.998, -21.4072
10.3, 999.637, 546.911, -21.0082
10.35, 1004.07, 546.711, -20.1178
10.4, 1007.29, 546.543, -19.4336
10.45, 1011.39, 546.331, -18.6131
10.5, 1015.16, 546.12, -17.8542
10.55, 1019.51, 545.872, -17.0079
10.6, 1024.43, 545.582, -16.0776
10.65, 1028.28, 545.334, -15.3298
10.7, 1032.58, 545.051, -14.5152
10.75, 1035.91, 544.815, -13.8656
10.8, 1040.5, 544.497, -13.0187
10.85, 1044.22, 544.222, -12.3193
10.9, 1048.5, 543.903, -11.5358
10.95, 1052.83, 543.572, -10.7523
11, 1057.72, 543.194, -9.88754
11.05, 1062.9, 542.784, -8.98331
11.1, 1068.6, 542.323, -8.00514
11.15, 1071.58, 542.059, -7.46826
11.2, 1076.11, 541.671, -6.69075
11.25, 1081.44, 541.211, -5.79264
11.3, 1086.05, 540.8, -5.01596
11.35, 1090.18, 540.424, -4.32365
11.4, 1094.46, 540.031, -3.61316
11.45, 1098.89, 539.62, -2.88476
11.5, 1103.16, 539.218, -2.18887
11.55, 1108.04, 538.756, -1.40166
11.6, 1113.38, 538.245, -0.550642
11.65, 1116.28, 537.962, -0.0899237
11.7, 1122.24, 537.382, 0.8482
11.75, 1126.44, 536.968, 1.50037
11.8, 1131.28, 536.487, 2.24956
11.85, 1137.12, 535.9, 3.14827
11.9, 1143.16, 535.285, 4.07012
11.95, 1148.32, 534.757, 4.84535
12, 1151.06, 534.487, 5.23596
12.05, 1156.11, 533.967, 5.9858
12.1, 1160.19, 533.553, 6.57554
12.15, 1163.61, 533.21, 7.05962
12.2, 1166.8, 532.895, 7.50217
12.25, 1170.91, 532.478, 8.08569
12.3, 1175.53, 532.004, 8.74553
12.35, 1179.82, 531.568, 9.34635
12.4, 1182.57, 531.307, 9.70317
12.45, 1186.39, 530.927, 10.2232
12.5, 1190.68, 530.494, 10.8126
12.55, 1194.78, 530.083, 11.3683
12.6, 1199.31, 529.624, 11.9867
12.65, 1205.17, 529.01, 12.808
12.7, 1210.24, 528.488, 13.4991
12.75, 1212.55, 528.294, 13.7536
12.8, 1216.84, 527.867, 14.3156
12.85, 1220.4, 527.53, 14.759
12.9, 1226.59, 526.882, 15.609
12.95, 1232.75, 526.235, 16.4484
13, 1238.96, 525.581, 17.2884
13.05, 1244.39, 525.021, 18.0003
13.1, 1250.45, 524.384, 18.804
13.15, 1252.92, 524.195, 19.0417
13.2, 1257.82, 523.707, 19.6565
13.25, 1263.41, 523.135, 20.3747
13.3, 1268.4, 522.64, 20.9935
13.35, 1275.82, 521.842, 21.9874
13.4, 1281.11, 521.311, 22.6406
13.45, 1285.56, 520.891, 23.1566
13.5, 1291.08, 520.337, 23.8376
13.55, 1297.95, 519.614, 24.7215
13.6, 1304.29, 518.959, 25.5182
13.65, 1309.82, 518.411, 26.1802
13.7, 1314.36, 517.992, 26.6846
13.75, 1318.97, 517.569, 27.1958
13.8, 1323.23, 517.195, 27.6482
13.85, 1329.59, 516.555, 28.4251
13.9, 1338.27, 515.619, 29.558
13.95, 1344.57, 514.99, 30.31
14, 1347.38, 514.82, 30.512
14.05, 1353.29, 514.252, 31.1966
14.1, 1359.66, 513.626, 31.9493
14.15, 1366.45, 512.951, 32.7602
14.2, 1370.19, 512.676, 33.0893
14.25, 1376.17, 512.115, 33.7659
14.3, 1382.74, 511.481, 34.5304
14.35, 1387.35, 511.106, 34.982
14.4, 1393.02, 510.598, 35.596
14.45, 1396.59, 510.367, 35.8767
14.5, 1402.83, 509.796, 36.5751
14.55, 1407.32, 509.455, 36.993
14.6, 1413.32, 508.926, 37.6456
14.65, 1418.1, 508.557, 38.1005
14.7, 1425.56, 507.854, 38.9744
14.75, 1431.29, 507.373, 39.5707
14.8, 1435.32, 507.114, 39.8931
14.85, 1440.41, 506.725, 40.3818
14.9, 1444.98, 506.407, 40.7836
14.95, 1449.31, 506.122, 41.1456
15, 1453.22, 505.894, 41.439
15.05, 1456.26, 505.776, 41.5921
15.1, 1458.78, 505.723, 41.6617
15.15, 1463.46, 505.414, 42.0744
15.2, 1468.96, 505.013, 42.6136
15.25, 1471.91, 504.917, 42.7439
15.3, 1476.33, 504.653, 43.1069
15.35, 1482.17, 504.23, 43.6932
15.4, 1485.35, 504.115, 43.8528
15.45, 1489.39, 503.907, 44.1472
15.5, 1496.38, 503.372, 44.9117
15.55, 1504.21, 502.749, 45.8031
15.6, 1509.85, 502.374, 46.3404
15.65, 1515.92, 501.957, 46.9403
15.7, 1521.85, 501.561, 47.5149
15.75, 1528.06, 501.14, 48.129
15.8, 1531.75, 500.999, 48.3355
15.85, 1536.25, 500.774, 48.6697
15.9, 1541.16, 500.51, 49.0679
15.95, 1544.78, 500.386, 49.2562
16, 1548.95, 500.208, 49.5317
16.05, 1551.74, 500.175, 49.5821
16.1, 1556.19, 499.976, 49.8993
16.15, 1562.42, 499.602, 50.5037
16.2, 1568.4, 499.258, 51.0626
16.25, 1572.38, 499.117, 51.2949
16.3, 1577.42, 498.875, 51.6967
16.35, 1581.98, 498.685, 52.0169
16.4, 1588.6, 498.302, 52.6705
16.45, 1595.57, 497.891, 53.3755
16.5, 1599.28, 497.793, 53.5452
16.55, 1604.05, 497.599, 53.8862
16.6, 1610.53, 497.253, 54.5034
16.65, 1614.54, 497.136, 54.713
16.7, 1620.28, 496.867, 55.204
16.75, 1627, 496.516, 55.8518
16.8, 1631.77, 496.342, 56.1761
16.85, 1634.9, 496.314, 56.2276
16.9, 1640.39, 496.086, 56.6672
16.95, 1645.06, 495.932, 56.969
17, 1649.06, 495.836, 57.1594
17.05, 1653.15, 495.736, 57.3609
17.1, 1657.15, 495.646, 57.5476
17.15, 1663.45, 495.377, 58.1125
17.2, 1666.26, 495.384, 58.0967
17.25, 1666.45, 495.591, 57.6479
17.3, 1669.08, 495.609, 57.6068
17.35, 1673.78, 495.479, 57.9075
17.4, 1677.97, 495.387, 58.1226
17.45, 1686.39, 495.005, 59.0383
17.5, 1692.12, 494.813, 59.5013
17.55, 1699.27, 494.529, 60.1957
17.6, 1704.34, 494.389, 60.5389
17.65, 1707.01, 494.413, 60.4791
17.7, 1711.44, 494.322, 60.7139
17.75, 1715.48, 494.258, 60.8811
17.8, 1722.58, 494.007, 61.5587
17.85, 1727.39, 493.9, 61.8484
17.9, 1730.07, 493.925, 61.7791
17.95, 1737.92, 493.646, 62.578
18, 1740.69, 493.667, 62.5185
18.05, 1745.36, 493.58, 62.7769
18.1, 1749.88, 493.503, 63.0086
18.15, 1757.67, 493.252, 63.7896
18.2, 1761.12, 493.239, 63.833
18.25, 1766.41, 493.129, 64.1865
18.3, 1770.29, 493.095, 64.2993
18.35, 1775.09, 493.016, 64.5667
18.4, 1780.04, 492.932, 64.8583
18.45, 1783.37, 492.928, 64.8732
18.5, 1786.46, 492.935, 64.8466
18.55, 1790.34, 492.907, 64.9553
18.6, 1792.55, 492.951, 64.7798
18.65, 1795.45, 492.966, 64.7216
18.7, 1802.63, 492.809, 65.3911
18.75, 1809.21, 492.678, 65.9539
18.8, 1812.76, 492.668, 65.9971
18.85, 1818.12, 492.592, 66.3472
18.9, 1824.01, 492.498, 66.7869
18.95, 1832.18, 492.326, 67.609
19, 1836.07, 492.308, 67.6973
19.05, 1842.66, 492.199, 68.2442
19.1, 1845.79, 492.209, 68.1953
19.15, 1847.53, 492.262, 67.9095
19.2, 1852.39, 492.218, 68.1604
19.25, 1860.87, 492.071, 69.0283
19.3, 1864.19, 492.074, 69.006
19.35, 1869.49, 492.023, 69.3241
19.4, 1873.63, 492.005, 69.4392
19.45, 1879.35, 491.948, 69.8249
19.5, 1885.36, 491.886, 70.2577
19.55, 1890.34, 491.851, 70.5105
19.6, 1893.78, 491.853, 70.4958
19.65, 1897.55, 491.848, 70.5373
19.7, 1900.99, 491.85, 70.5227
19.75, 1903.75, 491.864, 70.3903
19.8, 1908.43, 491.844, 70.5899
19.85, 1913.41, 491.819, 70.8411
19.9, 1916.63, 491.824, 70.7845
19.95, 1920.04, 491.826, 70.7622
